Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
40.75, 5600.0, 5602.7216796875, 0.5640926361083984
41.0, 5600.0, 5599.40576171875, 0.5640907287597656
41.25, 5600.0, 5602.8408203125, 0.5640888214111328
41.5, 5600.0, 5598.7099609375, 0.5640869736671448
41.75, 7000.0, 5815.11083984375, 0.564085066318512
42.0, 7000.0, 7063.55517578125, 0.564081609249115
42.25, 7000.0, 7072.0048828125, 0.5640751123428345
42.5, 7000.0, 7030.5849609375, 0.5640674233436584
42.75, 7000.0, 7007.7783203125, 0.5640596747398376
43.0, 7000.0, 7004.4326171875, 0.564052402973175
43.25, 7000.0, 7000.65283203125, 0.5640449523925781
43.5, 7000.0, 7001.7890625, 0.5640371441841125
43.75, 7000.0, 6999.8427734375, 0.5640295147895813
44.0, 7000.0, 7001.49609375, 0.5640220642089844
44.25, 7000.0, 7000.1865234375, 0.564014732837677
44.5, 7000.0, 7000.7333984375, 0.5640069842338562
44.75, 7000.0, 7000.62744140625, 0.5639992952346802
45.0, 7000.0, 7000.16015625, 0.5639920830726624
45.25, 7000.0, 7000.4970703125, 0.5639845132827759
45.5, 7000.0, 7000.3984375, 0.5639767646789551
45.75, 7000.0, 7000.9208984375, 0.5639691352844238
46.0, 7000.0, 6999.53125, 0.5639614462852478
46.25, 7000.0, 6999.505859375, 0.5639539361000061
46.5, 0.0, 6623.81201171875, 0.5639463067054749
46.75, 0.0, 1315.798095703125, 0.5639436841011047
47.0, 0.0, 278.6541748046875, 0.5639498829841614
47.25, 0.0, 78.20594024658203, 0.5639610290527344
47.5, 0.0, 39.93715286254883, 0.5639725923538208
47.75, 0.0, 31.15224266052246, 0.5639849305152893
48.0, 0.0, 28.584754943847656, 0.5639976859092712
48.25, 0.0, 26.69906997680664, 0.5640105605125427
48.5, 0.0, 25.820112228393555, 0.5640231966972351
48.75, 0.0, 24.9033203125, 0.5640352964401245
49.0, 0.0, 23.63733673095703, 0.5640479326248169
49.25, 0.0, 22.71402931213379, 0.5640605092048645
49.5, 0.0, 21.927278518676758, 0.5640725493431091
49.75, 0.0, 21.389873504638672, 0.5640853047370911
50.0, 0.0, 21.04652976989746, 0.564098060131073
50.25, 0.0, 20.22649574279785, 0.5641106963157654
50.5, 0.0, 20.22718620300293, 0.5641235113143921
50.75, 0.0, 19.356216430664062, 0.5641363263130188
51.0, 0.0, 19.284008026123047, 0.5641491413116455
51.25, 0.0, 19.569116592407227, 0.5641617774963379
51.5, 2000.0, 1094.2669677734375, 0.5641741752624512
51.75, 2000.0, 1827.1826171875, 0.56418377161026
52.0, 2000.0, 1987.599853515625, 0.5641913414001465
52.25, 2000.0, 2000.6944580078125, 0.5641982555389404
52.5, 2000.0, 2004.0821533203125, 0.5642051100730896
52.75, 2000.0, 2005.0634765625, 0.5642118453979492
53.0, 2000.0, 1998.4365234375, 0.5642185807228088
53.25, 2000.0, 2003.867431640625, 0.5642252564430237
53.5, 2000.0, 2000.8995361328125, 0.5642319917678833
53.75, 2000.0, 2000.25927734375, 0.5642387866973877
54.0, 2000.0, 1998.71875, 0.5642455220222473
54.25, 2000.0, 2000.576171875, 0.5642522573471069
54.5, 2000.0, 2001.7392578125, 0.5642589330673218
54.75, 2000.0, 1999.0924072265625, 0.5642656683921814
55.0, 2000.0, 2000.385498046875, 0.5642724633216858
55.25, 2000.0, 2001.4490966796875, 0.5642791390419006
55.5, 2000.0, 1999.2100830078125, 0.5642856955528259
55.75, 2000.0, 1999.6427001953125, 0.5642924308776855
56.0, 3000.0, 2203.589599609375, 0.5642991065979004
56.25, 3000.0, 2786.39453125, 0.5643051266670227
56.5, 3000.0, 2913.539306640625, 0.5643100738525391
56.75, 3000.0, 2955.0791015625, 0.5643146634101868
57.0, 3000.0, 2980.491943359375, 0.5643191933631897
57.25, 3000.0, 2989.5068359375, 0.5643237829208374
57.5, 3000.0, 2988.162353515625, 0.564328134059906
57.75, 3000.0, 2994.109619140625, 0.5643324255943298
58.0, 3000.0, 2997.01220703125, 0.5643369555473328
