Time, Ptotal
275.75,10823.55469
276,10823.55469
276.25,10823.55469
276.5,10823.55469
276.75,10823.55469
277,10823.55469
277.25,10823.55469
277.5,10823.55469
277.75,10823.55469
278,10798.71875
278.25,10777.28711
278.5,10692.55176
278.75,10663.3916
279,10605.51074
279.25,10539.57422
279.5,10505.32813
279.75,10474.94238
280,10432.9209
280.25,10412.41504
280.5,10254.28516
280.75,10244.96289
281,10216.85938
281.25,10216.85938
281.5,10162.34277
281.75,10158.60742
282,10158.60742
282.25,10158.60742
282.5,10124.2373
282.75,10124.2373
283,10124.2373
283.25,10124.2373
283.5,10090.23926
283.75,10090.23926
284,10090.23926
284.25,10090.23926
284.5,10067.78125
284.75,10067.78125
285,10067.78125
285.25,10067.78125
285.5,10067.78125
285.75,10067.78125
286,10067.78125
286.25,10067.78125
286.5,10067.78125
286.75,10067.78125
287,10067.78125
287.25,10067.78125
287.5,10067.78125
287.75,10067.78125
288,10067.78125
288.25,10067.78125
288.5,10067.78125
288.75,10067.78125
289,10067.78125
289.25,10067.78125
289.5,10067.78125
289.75,10067.78125
290,10067.78125
290.25,10067.78125
290.5,10067.78125
290.75,10067.78125
291,10067.78125
291.25,10067.78125
291.5,10067.78125
291.75,10067.78125
292,10067.78125
292.25,10067.78125
292.5,10067.78125
292.75,10067.78125
293,10067.78125
293.25,10067.78125
293.5,10067.78125
293.75,10067.78125
294,10067.78125
294.25,10067.78125
294.5,10067.78125
294.75,10067.78125
295,10067.78125
295.25,10067.78125
295.5,10067.78125
295.75,10067.78125
296,10067.78125
296.25,10067.78125
296.5,10067.78125
296.75,10067.78125
297,10067.78125
297.25,10067.78125
297.5,10067.78125
297.75,10067.78125
298,10059.24512
298.25,10052.13184
298.5,10034.44434
298.75,9989.603516
299,9952.805664
299.25,9886.655273
299.5,9836.164063
299.75,9832.881836
300,9797.410156
300.25,9775.004883
300.5,9768.313477
300.75,9651.136719
301,9634.630859
301.25,9626.110352
301.5,9626.110352
301.75,9584.49707
302,9584.49707
302.25,9584.49707
302.5,9568.987305
302.75,9559.03418
303,9559.03418
303.25,9559.03418
303.5,9548.920898
303.75,9525.422852
304,9525.422852
304.25,9525.422852
304.5,9525.422852
304.75,9508.762695
305,9508.762695
305.25,9508.762695
305.5,9508.762695
305.75,9508.762695
306,9508.762695
306.25,9508.762695
306.5,9508.762695
306.75,9508.762695
307,9508.762695
307.25,9508.762695
307.5,9508.762695
307.75,9508.762695
308,9508.762695
308.25,9508.762695
308.5,9508.762695
308.75,9508.762695
309,9508.762695
309.25,9508.762695
309.5,9508.762695
309.75,9508.762695
310,9508.762695
310.25,9508.762695
310.5,9508.762695
310.75,9508.762695
311,9508.762695
311.25,9508.762695
311.5,9508.762695
311.75,9508.762695
312,9508.762695
312.25,9508.762695
312.5,9508.762695
312.75,9508.762695
313,9508.762695
313.25,9508.762695
313.5,9508.762695
313.75,9508.762695
314,9508.762695
314.25,9508.762695
314.5,9508.762695
314.75,9508.762695
315,9508.762695
315.25,9508.762695
315.5,9508.762695
315.75,9508.762695
316,9508.762695
316.25,9508.762695
316.5,9508.762695
316.75,9508.762695
317,9508.762695
317.25,9508.762695
317.5,9508.762695
317.75,9508.762695
318,9508.762695
318.25,9495.931641
318.5,9495.931641
318.75,9346.510742
319,9332.365234
319.25,9211.032227
319.5,8982.055664
319.75,8901.598633
320,8901.598633
320.25,8744.890625
320.5,8646.94043
320.75,8494.366211
321,8285.473633
321.25,8214.079102
321.5,8214.079102
321.75,8179.132324
322,8095.976074
322.25,8095.976563
322.5,8095.976563
322.75,8020.387695
323,8020.387695
323.25,8020.387695
323.5,8020.387695
323.75,7946.896484
324,7946.896484
324.25,7946.896484
