Time, Ptotal,Regd,Time regD
3851.75,14357.81348,,
3852,14357.81348,,
3852.25,14357.81348,,
3852.5,14357.81348,,
3852.75,14357.81348,,
3853,14357.81348,,
3853.25,14357.81348,,
3853.5,14357.81348,,
3853.75,14357.81348,,
3854,14357.81348,,
3854.25,14357.81348,,
3854.5,14357.81348,,
3854.75,14357.81348,,
3855,14357.81348,,
3855.25,14357.81348,,
3855.5,14357.81348,,
3855.75,14357.81348,,
3856,14357.81348,,
3856.25,14357.81348,,
3856.5,14357.81348,,
3856.75,14357.81348,,
3857,14357.81348,,
3857.25,14357.81348,,
3857.5,14357.81348,,
3857.75,14357.81348,,
3858,14357.81348,,
3858.25,14357.81348,,
3858.5,14357.81348,,
3858.75,14357.81348,,
3859,14357.81348,,
3859.25,14357.81348,,
3859.5,14336.28516,,
3859.75,14305.33789,,
3860,14223.06055,,
3860.25,14168.8418,,
3860.5,14102.31738,,
3860.75,14044.69531,,
3861,14003.43262,,
3861.25,13955.62695,,
3861.5,13913.11719,,
3861.75,13882.07324,,
3862,13748.62012,,
3862.25,13699.21973,,
3862.5,13667.1748,,
3862.75,13667.1748,,
3863,13614.0127,,
3863.25,13614.8291,,
3863.5,13614.8291,,
3863.75,13614.8291,,
3864,13572.77246,,
3864.25,13562.64355,,
3864.5,13562.64355,,
3864.75,13562.64355,,
3865,13523.92578,,
3865.25,13523.92578,,
3865.5,13523.92578,,
3865.75,13523.92578,,
3866,13498.31445,,
3866.25,13498.31445,,
3866.5,13498.31445,,
3866.75,13498.31445,,
3867,13498.31445,,
3867.25,13498.31445,,
3867.5,13498.31445,,
3867.75,13498.31445,,
3868,13498.31445,,
3868.25,13498.31445,,
3868.5,13498.31445,,
3868.75,13498.31445,,
3869,13498.31445,,
3869.25,13498.31445,,
3869.5,13498.31445,,
3869.75,13498.31445,,
3870,13498.31445,,
3870.25,13498.31445,,
3870.5,13498.31445,,
3870.75,13498.31445,,
3871,13498.31445,,
3871.25,13498.31445,,
3871.5,13498.31445,,
3871.75,13498.31445,,
3872,13498.31445,,
3872.25,13498.31445,,
3872.5,13498.31445,,
3872.75,13498.31445,,
3873,13498.31445,,
3873.25,13498.31445,,
3873.5,13498.31445,,
3873.75,13498.31445,,
3874,13498.31445,,
3874.25,13498.31445,,
3874.5,13498.31445,,
3874.75,13498.31445,,
3875,13498.31445,,
3875.25,13498.31445,,
3875.5,13498.31445,,
3875.75,13498.31445,,
3876,13498.31445,,
3876.25,13498.31445,,
3876.5,13498.31445,,
3876.75,13498.31445,,
3877,13498.31445,,
3877.25,13498.31445,,
3877.5,13498.31445,,
3877.75,13498.31445,,
3878,13498.31445,,
3878.25,13498.31445,,
3878.5,13498.31445,,
3878.75,13498.31445,,
3879,13498.31445,,
3879.25,13498.31445,,
3879.5,13497.97949,,
3879.75,13497.49707,,
3880,13496.53613,,
3880.25,13492.97949,,
3880.5,13490.37109,,
3880.75,13486.14844,,
3881,13483.36914,,
3881.25,13481.79785,,
3881.5,13479.375,,
3881.75,13476.88086,,
3882,13476.20117,,
3882.25,13468.14844,,
3882.5,13467.09473,,
3882.75,13466.12402,,
3883,13466.12402,,
3883.25,13463.05371,,
3883.5,13463.05371,,
3883.75,13463.05371,,
3884,13461.84375,,
3884.25,13461.20605,,
3884.5,13461.20605,,
3884.75,13461.20605,,
3885,13460.59082,,
3885.25,13458.74414,,
3885.5,13458.74414,,
3885.75,13458.74414,,
3886,13458.74414,,
3886.25,13457.51367,,
3886.5,13457.51367,,
3886.75,13457.51367,,
3887,13457.51367,,
3887.25,13457.51367,,
3887.5,13457.51367,,
3887.75,13457.51367,,
3888,13457.51367,,
3888.25,13457.51367,,
3888.5,13457.51367,,
3888.75,13457.51367,,
3889,13457.51367,,
3889.25,13457.51367,,
3889.5,13457.51367,,
3889.75,13457.51367,,
3890,13457.51367,,
3890.25,13457.51367,,
3890.5,13457.51367,,
3890.75,13457.51367,,
3891,13457.51367,,
3891.25,13457.51367,,
3891.5,13457.51367,,
3891.75,13457.51367,,
3892,13457.51367,,
3892.25,13457.51367,,
3892.5,13457.51367,,
3892.75,13457.51367,,
3893,13457.51367,,
3893.25,13457.51367,,
3893.5,13457.51367,,
3893.75,13457.51367,,
3894,13457.51367,,
3894.25,13457.51367,,
3894.5,13457.51367,,
3894.75,13457.51367,,
3895,13457.51367,,
3895.25,13457.51367,,
3895.5,13457.51367,,
3895.75,13457.51367,,
3896,13457.51367,,
3896.25,13457.51367,,
3896.5,13457.51367,,
3896.75,13457.51367,,
3897,13457.51367,,
3897.25,13457.51367,,
3897.5,13457.51367,,
3897.75,13457.51367,,
3898,13457.51367,,
3898.25,13457.51367,,
3898.5,13457.51367,,
3898.75,13457.51367,,
3899,13457.51367,,
3899.25,13457.51367,,
3899.5,13457.51367,,
3899.75,13457.31738,,
3900,13457.24121,,
3900.25,13455.76953,,
3900.5,13454.47852,,
3900.75,13453.05469,,
3901,13449.97852,,
3901.25,13448.79883,,
3901.5,13448.28711,,
3901.75,13445.91992,,
3902,13444.01855,,
3902.25,13442.32813,,
3902.5,13439.1748,,
3902.75,13438.06152,,
3903,13437.86523,,
